Round,Argentina,Australia,Belgium,Brazil,Bulgaria,Canada,China,Czechoslovakia,Denmark,Egypt,England,France,Greece,Hungary,India,Iran,Iraq,Israel,Italy,Mexico,Norway,Netherlands,Pakistan,Philippines,Poland,Rumania,USSR,South Africa,Saudi Arabia,Spain,Sweden,Syria,Thailand,Turkey,USA,Yugoslavia
10,0.920220553883548,0.9262424788048208,0.9389480095783969,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
11,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
12,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
13,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
14,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
15,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
16,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
17,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
18,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
19,0.920220553883548,0.9262424788048207,0.9389480095783967,0.9431822660819237,0.9371241754629865,0.9695614697430277,0.9839239056771034,0.9898210800525322,0.9893952189118361,0.989139042988004,0.9789586517955109,0.9737397504304461,0.9727538276958919,0.9721222848697426,0.96735212940257,0.9664674458268845,0.965820139498437,0.96549078994183,0.9603122460229161,0.9588460624904155,0.9576805837025077,0.9562922988205065,0.952291093775128,0.9334744229106443,0.921898136258201,0.894991078558032,0.8637426488159536,0.8710552604454487,0.8723988925551329,0.8596363077347199,0.8563224001948114,0.76134720223838,0.836174328473205,0.8375658921929047,0.9933473752117983,0.9932058794902957
